[2018-11-13T11:28:03.130] [ERROR] error - Token Not Found
[2018-11-13T11:31:58.536] [ERROR] error - Token Not Found
[2018-11-14T11:25:09.470] [ERROR] errorFile - Requested Hotel Record Not Found
[2018-11-16T10:20:45.614] [ERROR] error - Failed To Register a User, Required Fields are missing!
[2018-11-16T10:21:14.850] [ERROR] error - Failed To Register a User, Required Fields are missing!
[2018-11-16T10:21:35.653] [ERROR] error - Failed To Register a User, Required Fields are missing!
[2018-11-16T10:22:24.862] [ERROR] error - Failed To Register a User, Required Fields are missing!
[2018-11-16T10:24:21.428] [ERROR] error - Failed To Register a User, Required Fields are missing!
[2018-11-16T12:06:06.387] [ERROR] error - Failed to Register a User..Intenal Server Error!
[2018-11-16T12:06:13.890] [ERROR] error - Failed to Register a User..Intenal Server Error!
[2018-11-16T12:07:11.783] [ERROR] error - Failed to Register a User..Intenal Server Error!
[2018-11-17T10:48:19.094] [ERROR] errorFile - Required Fields are not passed in request body!
[2018-11-17T10:55:35.153] [ERROR] errorFile - Required Fields are not passed in request body!
[2018-11-17T10:56:58.033] [ERROR] errorFile - Required Fields are not passed in request body!
[2018-11-17T10:58:53.659] [ERROR] errorFile - Required Fields are not passed in request body!
[2018-11-17T10:59:19.207] [ERROR] errorFile - Required Fields are not passed in request body!
[2018-11-17T11:00:30.391] [ERROR] errorFile - Required Fields are not passed in request body!
[2018-11-17T11:01:22.401] [ERROR] errorFile - Required Fields are not passed in request body!
[2018-11-17T11:02:32.780] [ERROR] errorFile - Required Fields are not passed in request body!
[2018-11-17T12:23:53.737] [ERROR] errorFile - Required Fields are not passed in request body!
[2018-11-17T12:25:33.769] [ERROR] errorFile - Required Fields are not passed in request body!
[2018-11-17T12:26:24.554] [ERROR] errorFile - Required Fields are not passed in request body!
[2018-11-17T12:26:58.718] [ERROR] errorFile - Required Fields are not passed in request body!
